Client Details: 
Name => Michalis Kaili
Surname => Kaili
Customer_ID => 987098
Address => 111111111111111
Telephone => 2147483647
Email => mkaili02@cs.ucy.ac.cy
Password => $2y$10$tdc/1IhTc8Lfh0izEGZqU.uRcCYtP4w5AuHAm2Jv/3NUIYFrGu5cq

Memberships: 
ID => 131
CustomerID => 987098
ExpirationDate => 2020-05-12
Type => Unlimited

Enrolment: 
Id		 Username		 ClassID		 Date		 
104		 mkaili02@cs.ucy.ac.cy	 1066			 2020-05-02
111		 mkaili02@cs.ucy.ac.cy	 1083			 2020-05-05
112		 mkaili02@cs.ucy.ac.cy	 1086			 2020-05-05

Log-in  Details: 
Id	 Customer_ID	 Date	 
151	 987098		 2020-04-25 01:27:23
154	 987098		 2020-04-25 01:30:11
172	 987098		 2020-04-25 20:29:04
175	 987098		 2020-04-25 20:40:56
206	 987098		 2020-05-01 02:53:08
207	 987098		 2020-05-01 02:54:01
208	 987098		 2020-05-01 02:54:18
209	 987098		 2020-05-01 02:54:54
210	 987098		 2020-05-01 02:56:43
211	 987098		 2020-05-01 03:01:05
212	 987098		 2020-05-01 03:02:30
213	 987098		 2020-05-01 03:05:09
214	 987098		 2020-05-01 03:05:50
215	 987098		 2020-05-01 03:06:46
216	 987098		 2020-05-01 03:07:50
217	 987098		 2020-05-01 03:08:37
224	 987098		 2020-05-01 16:20:40
226	 987098		 2020-05-01 16:24:21
227	 987098		 2020-05-01 16:24:21
228	 987098		 2020-05-01 16:24:21
229	 987098		 2020-05-01 16:24:21
230	 987098		 2020-05-01 16:24:21
231	 987098		 2020-05-01 16:24:22
232	 987098		 2020-05-01 16:24:22
233	 987098		 2020-05-01 16:24:22
234	 987098		 2020-05-01 16:24:22
235	 987098		 2020-05-01 16:24:22
236	 987098		 2020-05-01 16:24:22
237	 987098		 2020-05-01 16:24:22
238	 987098		 2020-05-01 16:24:23
239	 987098		 2020-05-01 16:24:23
240	 987098		 2020-05-01 16:24:23
241	 987098		 2020-05-01 16:24:23
242	 987098		 2020-05-01 16:24:34
243	 987098		 2020-05-01 16:24:34
244	 987098		 2020-05-01 16:24:47
248	 987098		 2020-05-01 16:46:44
249	 987098		 2020-05-01 17:08:51
250	 987098		 2020-05-01 17:10:51
251	 987098		 2020-05-01 17:11:38
252	 987098		 2020-05-01 17:12:57
253	 987098		 2020-05-01 17:13:28
254	 987098		 2020-05-01 17:14:15
255	 987098		 2020-05-01 17:15:15
256	 987098		 2020-05-01 17:16:25
258	 987098		 2020-05-01 17:18:02
259	 987098		 2020-05-01 17:19:22
260	 987098		 2020-05-01 17:23:55
261	 987098		 2020-05-01 17:24:40
262	 987098		 2020-05-01 17:31:10
263	 987098		 2020-05-01 17:32:01
265	 987098		 2020-05-01 17:43:24
266	 987098		 2020-05-01 17:44:09
267	 987098		 2020-05-01 17:45:20
268	 987098		 2020-05-01 17:46:00
269	 987098		 2020-05-01 17:49:16
270	 987098		 2020-05-01 17:49:58
271	 987098		 2020-05-01 17:54:21
272	 987098		 2020-05-01 17:54:52
273	 987098		 2020-05-01 17:56:03
274	 987098		 2020-05-01 17:56:48
275	 987098		 2020-05-01 18:07:41
276	 987098		 2020-05-01 18:09:10
277	 987098		 2020-05-01 18:12:11
278	 987098		 2020-05-01 18:12:47
279	 987098		 2020-05-01 18:13:35
280	 987098		 2020-05-01 18:17:12
281	 987098		 2020-05-01 18:17:25
282	 987098		 2020-05-01 18:17:47
283	 987098		 2020-05-01 18:18:20
285	 987098		 2020-05-01 18:20:31
286	 987098		 2020-05-01 18:20:57
287	 987098		 2020-05-01 18:22:17
288	 987098		 2020-05-01 18:23:29
289	 987098		 2020-05-01 18:24:25
290	 987098		 2020-05-01 18:25:06
291	 987098		 2020-05-01 18:26:16
292	 987098		 2020-05-01 18:27:40
311	 987098		 2020-05-01 21:35:20
312	 987098		 2020-05-01 21:36:10
313	 987098		 2020-05-01 21:36:51
314	 987098		 2020-05-01 21:37:33
315	 987098		 2020-05-01 21:38:02
316	 987098		 2020-05-01 21:40:48
317	 987098		 2020-05-01 21:41:14
318	 987098		 2020-05-01 21:41:42
319	 987098		 2020-05-01 21:42:10
